attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
ArcFace,Facenet512,BSR,30,36.666666666666664,0.28317846860736606
ArcFace,GhostFaceNet,BSR,30,36.666666666666664,0.12776712697620193
ArcFace,IR152,BSR,30,13.333333333333334,0.2088592621187369
ArcFace,VGG-Face,BSR,30,33.33333333333333,0.15041113458573818
Facenet512,ArcFace,BSR,30,63.33333333333333,0.24578936699156959
Facenet512,GhostFaceNet,BSR,30,43.333333333333336,0.14350087993467847
Facenet512,IR152,BSR,30,50.0,0.28046641576414305
Facenet512,VGG-Face,BSR,30,56.666666666666664,0.23473952828596037
GhostFaceNet,ArcFace,BSR,30,33.33333333333333,0.12928755894924204
GhostFaceNet,Facenet512,BSR,30,10.0,0.15583389258633057
GhostFaceNet,IR152,BSR,30,10.0,0.14948404940466087
GhostFaceNet,VGG-Face,BSR,30,16.666666666666664,0.0936667294551929
VGG-Face,ArcFace,BSR,30,60.0,0.24479750907048586
VGG-Face,Facenet512,BSR,30,60.0,0.47306803160657485
VGG-Face,GhostFaceNet,BSR,30,40.0,0.13507249758889278
VGG-Face,IR152,BSR,30,20.0,0.22090373498698077
